Decade,Name,Pop Age,Height cm,Weight kg,BMI,BMI Status,Eye Color,Hair Color,Race,Estimated Fitzpatrick Skin Type,Race_Category,Ethnicity,Ethnic_Origins,Hair_Category,Eye_Category_Refined,Cluster
1970,Carrie Fisher,21,155,48,19.98,Healthy Weight,Brown,Dark Brown,"English, Russian-Jewish",Type II,White,Not Hispanic or Latino,"['English', 'Russian', 'Jewish']",Brown,Brown,1
1970,Olivia Newton-John,30,168,60,21.26,Healthy Weight,Blue,Golden Blonde,"English, German, Welsh",Type II,White,Not Hispanic or Latino,"['English', 'German', 'Welsh']",Blonde,Blue,2
1970,Margot Kidder,30,168,55,19.49,Healthy Weight,Hazel,Black,"English, Welsh",Type II,White,Not Hispanic or Latino,"['English', 'Welsh']",Black,Hazel,3
1970,Lois Chiles,32,171,57,19.49,Healthy Weight,Blue,Brown,English,Type III,White,Not Hispanic or Latino,['English'],Brown,Blue,3
1970,Talia Shire,30,163,55,20.7,Healthy Weight,Dark Brown,Black,Italian,Type II,White,Not Hispanic or Latino,['Italian'],Black,Brown,1
1970,Louise Fletcher,41,178,65,20.52,Healthy Weight,Blue,Dark Brown,"English, Irish, Scottish",Type II,White,Not Hispanic or Latino,"['English', 'Irish', 'Scottish']",Brown,Blue,2
1970,Ali MacGraw,31,173,55,18.38,Healthy Weight,Dark Brown,Black,"Hungarian, Jewish, Scottish, German",Type III,White,Not Hispanic or Latino,"['Hungarian', 'Jewish', 'Scottish', 'German']",Black,Brown,3
1970,Meryl Streep,30,168,63,22.32,Healthy Weight,Brown,Golden Blonde,"German, Swiss-German, English, Irish",Type I,White,Not Hispanic or Latino,"['German', 'Swiss', 'English', 'Irish']",Blonde,Brown,2
1970,Sondra Locke,34,163,45,16.94,Under Weight,Hazel,Golden Blonde,"English, Scottish",Type II,White,Not Hispanic or Latino,"['English', 'Scottish']",Blonde,Hazel,3
1970,Bernadette Peters,31,160,50,19.53,Healthy Weight,Brown,Golden Blonde,Italian,Type I,White,Not Hispanic or Latino,['Italian'],Blonde,Brown,1
1970,Jamie Lee Curtis,20,170,58,20.07,Healthy Weight,Blue,Golden Blonde,"English, German, Danish",Type II,White,Not Hispanic or Latino,"['English', 'German', 'Danish']",Blonde,Blue,0
1970,Barbara Bach,31,170,55,19.03,Healthy Weight,Blue,Dark Brown,"Austrian, Jewish",Type III,White,Not Hispanic or Latino,"['Austrian', 'Jewish']",Brown,Blue,3
