Decade,Name,Pop Age,Height cm,Weight kg,BMI,BMI Status,Eye Color,Hair Color,Race,Estimated Fitzpatrick Skin Type
70s,Carrie Fisher,21,155,48,19.98,Healthy Weight,Brown,Dark Brown,"English, Russian-Jewish",Type II
70s,Olivia Newton-John,30,168,60,21.26,Healthy Weight,Blue,Golden Blonde,"English, German, Welsh",Type II
70s,Margot Kidder,30,168,55,19.49,Healthy Weight,Hazel,Black,"English, Welsh",Type II
70s,Lois Chiles,32,171,57,19.49,Healthy Weight,Blue,Brown,English,Type III
70s,Talia Shire,30,163,55,20.70,Healthy Weight,Dark Brown,Black,Italian,Type II
70s,Louise Fletcher,41,178,65,20.52,Healthy Weight,Blue,Dark Brown,"English, Irish, Scottish",Type II
70s,Ali MacGraw,31,173,55,18.38,Healthy Weight,Dark Brown,Black,"Hungarian, Jewish, Scottish, German",Type III
70s,Meryl Streep,30,168,63,22.32,Healthy Weight,Brown,Golden Blonde,"German, Swiss-German, English, Irish",Type I
70s,Sondra Locke,34,163,45,16.94,Under Weight,Hazel,Golden Blonde,"English, Scottish",Type II
70s,Bernadette Peters,31,160,50,19.53,Healthy Weight,Brown,Golden Blonde,Italian,Type I
70s,Jamie Lee Curtis,20,170,58,20.07,Healthy Weight,Blue,Golden Blonde,"English, German, Danish",Type II
70s,Barbara Bach,31,170,55,19.03,Healthy Weight,Blue,Dark Brown,"Austrian, Jewish",Type III
70s,Jill St. John,31,168,55,19.49,Healthy Weight,Hazel,Red,"Russian, German",Type II
70s,Mariel Hemingway,18,180,63,19.44,Healthy Weight,Blue,Blonde,"English, German",Type II
70s,Diane Keaton,31,169,56,19.61,Healthy Weight,Green,Brown,"English, Irish, German",Type II
70s,Ann Reinking,30,170,55,19.03,Healthy Weight,Blue,Black,"German, English",Type I
70s,Maria Schneider,20,168,55,19.49,Healthy Weight,Dark Brown,Brown,"French, Romanian",Type III
70s,Irene Miracle,24,163,52,19.57,Healthy Weight,Green,Brown,"Italian, Spanish",Type III
70s,Marilyn Burns,25,160,50,19.53,Healthy Weight,Blue,Golden Blonde,"English, Scottish",Type II
70s,Brooke Adams,29,168,55,19.49,Healthy Weight,Dark Brown,Black,English,Type II
80s,Alison Doody,23,175,70,22.86,Healthy Weight,Grey,Blonde,WhiteIrish,Type II
80s,Karen Allen,30,165,55,20.20,Healthy Weight,Blue,Dark Brown,American,Type II
80s,Lea Thompson,24,163,53,19.95,Healthy Weight,Light Brown,Red,"Irish, English, German",Type I
80s,Kelly McGillis,29,178,74,23.36,Healthy Weight,Dark Brown,Blonde,American,Type II
80s,Valeria Golino,23,170,56,19.38,Healthy Weight,Blue,Dark Brown,"Italian, Greek, Egyptian",Type  III
80s,Kate Capshaw,31,170,64,22.15,Healthy Weight,Brown,Blonde,American,Type  II
80s,Linda Kozlowski,28,170,59,20.42,Healthy Weight,Blue,Blonde,"American, Polish",Type  II
80s,Anne Archer,40,170,65,22.49,Healthy Weight,Brown,Brown,American,Type  II
80s,Jennifer Grey,27,160,56,21.88,Healthy Weight,Light Brown,Light Brown,Jewish American,Type  II
80s,Jessica Lange,33,171,54,18.47,Healthy Weight,Light Brown,Blonde,American,Type  II
80s,Carey Lowell,28,178,58,18.31,Underweight,Brown,Dark Brown,American,Type  III
80s,Bonnie Bedelia,40,163,57,21.45,Healthy Weight,Brown,Dark Brown,American,Type  II
80s,Debra Winger,28,163,55,20.70,Healthy Weight,Brown,Dark Brown,American,Type  II
80s,Melanie Griffith,31,177,63,20.11,Healthy Weight,Blue,Blonde,American,Type  II
80s,Meg Ryan,28,173,57,19.05,Healthy Weight,Blue,Blonde,American,Type  II
80s,Jennifer Beals,20,172,55,18.59,Healthy Weight,Brown,Brown,"Mixed African American, White",Type  III
80s,Mary Elizabeth Mastrantonio,31,163,54,20.32,Healthy Weight,Dark Brown,Dark Brown,Italian American,Type  III
80s,Bess Armstrong,30,163,53,19.95,Healthy Weight,Brown,Blonde,American,Type  II
80s,Kathleen Turner,30,173,61,20.38,Healthy Weight,Blue,Blonde,American,Type  II
80s,Cher,41,174,58,19.16,Healthy Weight,Brown,Brown,"American of Armenian, Cherokee ancestry",Type  III
90s,Kate Winslet,22,169,63,22.06,Healthy Weight,Blue,"Red, Blonde",English,Type II
90s,Laura Dern,26,179,61,19.04,Healthy Weight,Blue,Blonde,"German, Norwegian, Scottish",Type I–II
90s,Natalie Portman,18,160,50,19.53,Healthy Weight,Hazel,Brown,Ashkenazi Jewish Israeli-American,Type III
90s,Robin Wright,28,168,59,20.9,Healthy Weight,Blue,Blonde,"English, Irish, Scottish",Type II
90s,Toni Collette,27,173,59,19.7,Healthy Weight,Blue,Blonde,Australian Irish descent,Type II
90s,Whoopi Goldberg,35,165,78,28.7,Overweight,Dark Brown,Black,African-American,Type VI
90s,Jami Gertz,31,165,55,20.2,Healthy Weight,Dark Brown,Dark Brown,Ashkenazi Jewish,Type III–IV
90s,Carrie-Anne Moss,32,174,58,19.2,Healthy Weight,Blue,Dark Brown,"Canadian English, German",Type II–III
90s,Julia Roberts,23,175,58,18.9,Healthy Weight,Hazel,"Auburn, Brown","English, Irish, Scottish",Type III
90s,Whitney Houston,29,172,61,20.6,Healthy Weight,Dark Brown,Black,African-American,Type V
90s,Maria Pitillo,32,160,50,19.5,Healthy Weight,Blue,Blonde,"Italian, Irish",Type II
90s,Annette Bening,41,169,60,21,Healthy Weight,Blue,Light Brown,"German, English, Irish",Type II
90s,Sharon Stone,34,174,58,19.2,Healthy Weight,Blue,Blonde,"German, Irish, Scottish",Type II
